cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,reseña_id,texto_reseña,fecha_reseña,producto_categoria,longitud_reseña
1,24,2786.54,127.14,95,14,tienda_fisica,11,1001,"Buen producto, la calidad es excelente y llegó rápido.",2025-10-07,Electrónica,9
2,2,346.48,124.95,65,4,web,9,1002,El producto llegó defectuoso.,2025-04-12,Ropa,4
3,8,4519.63,153.53,112,1,tienda_fisica,13,1003,El producto llegó defectuoso.,2025-03-23,Ropa,4
4,9,1597.02,479.46,44,14,tienda_fisica,2,1004,Entrega rápida y buen empaque.,2025-07-14,Hogar,5
5,20,2681.98,40.86,59,69,web,2,1005,Entrega rápida y buen empaque.,2025-07-13,Retail,5
6,27,6304.97,445.02,47,25,web,12,1006,Relación calidad-precio aceptable.,2025-02-05,Ropa,3
7,3,8560.41,435.91,49,36,web,8,1007,Relación calidad-precio aceptable.,2025-11-22,Servicios,3
8,12,2134.59,148.15,120,10,móvil,10,1008,Entrega rápida y buen empaque.,2025-11-22,Servicios,5
9,6,4649.49,149.57,119,72,web,4,1009,No estoy satisfecho con la compra.,2025-12-17,Ropa,6
10,27,369.4,171.42,35,9,móvil,4,1010,No estoy satisfecho con la compra.,2025-10-18,Electrónica,6
11,21,5017.35,444.65,83,59,tienda_fisica,3,1011,No estoy satisfecho con la compra.,2025-05-16,Retail,6
12,24,5866.63,450.95,52,47,web,4,1012,Relación calidad-precio aceptable.,2025-03-12,Servicios,3
13,25,518.81,72.63,81,21,tienda_fisica,13,1013,"El servicio fue regular, podría mejorar.",2025-12-15,Hogar,6
14,13,3847.11,498.14,68,33,móvil,9,1014,"El servicio fue regular, podría mejorar.",2025-01-06,Ropa,6
15,25,6427.57,73.55,56,21,tienda_fisica,8,1015,Relación calidad-precio aceptable.,2025-01-02,Electrónica,3
16,17,9130.65,437.85,39,65,tienda_fisica,10,1016,Excelente atención y variedad de productos.,2025-04-12,Retail,6
17,18,9537.32,462.77,118,1,web,10,1017,Excelente atención y variedad de productos.,2025-06-15,Retail,6
18,30,3661.66,492.95,104,40,móvil,4,1018,"El servicio fue regular, podría mejorar.",2025-01-30,Electrónica,6
19,3,7332.48,411.69,98,69,web,13,1019,"El servicio fue regular, podría mejorar.",2025-03-06,Ropa,6
20,9,5300.35,311.17,28,70,web,13,1020,Excelente atención y variedad de productos.,2025-12-20,Hogar,6
21,22,6516.29,230.29,67,58,web,2,1021,El producto llegó defectuoso.,2025-05-07,Retail,4
22,1,5903.67,130.46,29,1,web,2,1022,Entrega rápida y buen empaque.,2025-12-29,Electrónica,5
23,3,9058.93,432.62,10,66,tienda_fisica,4,1023,No estoy satisfecho con la compra.,2025-05-23,Electrónica,6
24,18,1366.5,469.05,74,61,tienda_fisica,4,1024,No estoy satisfecho con la compra.,2025-08-31,Hogar,6
25,4,6606.88,190.06,53,60,móvil,14,1025,"El servicio fue regular, podría mejorar.",2025-01-28,Servicios,6
26,13,7295.73,404.28,14,32,tienda_fisica,4,1026,"Buen producto, la calidad es excelente y llegó rápido.",2025-04-08,Electrónica,9
27,14,1875.71,242.06,112,10,tienda_fisica,8,1027,Excelente atención y variedad de productos.,2025-10-09,Hogar,6
28,3,9267.35,427.37,22,53,web,8,1028,"Buen producto, la calidad es excelente y llegó rápido.",2025-09-04,Electrónica,9
29,6,3820.78,492.95,34,59,web,5,1029,"Buen producto, la calidad es excelente y llegó rápido.",2025-08-05,Hogar,9
30,5,1939.48,124.5,8,70,tienda_fisica,1,1030,"Muy recomendable, volvería a comprar.",2025-06-10,Ropa,5
31,17,9197.9,274.94,8,66,web,2,1031,"Muy recomendable, volvería a comprar.",2025-04-06,Electrónica,5
32,22,8625.1,213.81,114,32,web,10,1032,"El servicio fue regular, podría mejorar.",2025-11-01,Ropa,6
33,14,6590.86,291.31,41,34,web,4,1033,"El servicio fue regular, podría mejorar.",2025-12-09,Ropa,6
34,9,3988.07,342.41,39,59,tienda_fisica,6,1034,No estoy satisfecho con la compra.,2025-02-07,Retail,6
35,3,5399.46,262.82,17,45,web,15,1035,"El servicio fue regular, podría mejorar.",2025-02-05,Hogar,6
36,6,4409.94,280.74,39,68,web,1,1036,Relación calidad-precio aceptable.,2025-12-08,Retail,3
37,29,1386.2,75.41,14,71,tienda_fisica,3,1037,"El servicio fue regular, podría mejorar.",2025-05-20,Retail,6
38,23,3461.66,350.0,110,34,móvil,9,1038,No estoy satisfecho con la compra.,2025-09-08,Ropa,6
39,21,4264.58,152.81,1,43,móvil,13,1039,"El servicio fue regular, podría mejorar.",2025-03-08,Electrónica,6
40,24,4446.26,358.72,72,2,tienda_fisica,2,1040,Excelente atención y variedad de productos.,2025-02-08,Retail,6
41,27,3723.7,285.21,56,17,tienda_fisica,1,1041,"Buen producto, la calidad es excelente y llegó rápido.",2025-06-07,Servicios,9
42,7,6836.56,340.13,46,72,móvil,15,1042,Entrega rápida y buen empaque.,2025-07-28,Electrónica,5
43,28,1666.89,403.95,23,53,tienda_fisica,1,1043,No estoy satisfecho con la compra.,2025-04-02,Servicios,6
44,26,6715.58,372.83,32,35,tienda_fisica,3,1044,El producto llegó defectuoso.,2025-12-26,Retail,4
45,28,4733.37,115.79,118,59,web,6,1045,"Buen producto, la calidad es excelente y llegó rápido.",2025-06-06,Hogar,9
46,22,1971.64,177.57,111,9,web,13,1046,"Buen producto, la calidad es excelente y llegó rápido.",2025-05-23,Servicios,9
47,22,9812.44,277.38,4,15,móvil,15,1047,El producto llegó defectuoso.,2025-05-14,Ropa,4
48,2,1128.61,228.59,94,41,web,7,1048,Relación calidad-precio aceptable.,2025-11-07,Ropa,3
49,29,5787.05,142.27,91,56,tienda_fisica,1,1049,El producto llegó defectuoso.,2025-09-24,Electrónica,4
50,14,746.24,338.83,43,41,tienda_fisica,11,1050,Entrega rápida y buen empaque.,2025-03-05,Servicios,5
51,22,4113.51,213.15,38,71,tienda_fisica,3,1051,Relación calidad-precio aceptable.,2025-04-09,Retail,3
52,20,5712.6,214.92,107,1,móvil,5,1052,Excelente atención y variedad de productos.,2025-05-27,Hogar,6
53,15,4445.77,344.3,66,61,web,13,1053,Entrega rápida y buen empaque.,2025-03-28,Hogar,5
54,17,6655.35,317.25,12,31,tienda_fisica,11,1054,Relación calidad-precio aceptable.,2025-06-08,Electrónica,3
55,1,509.83,492.29,79,10,web,8,1055,Excelente atención y variedad de productos.,2025-08-01,Servicios,6
56,23,6978.72,257.3,32,19,tienda_fisica,11,1056,No estoy satisfecho con la compra.,2025-12-19,Ropa,6
57,8,1800.07,479.82,67,60,web,1,1057,El producto llegó defectuoso.,2025-10-13,Electrónica,4
58,5,8024.1,340.44,72,41,web,13,1058,"Muy recomendable, volvería a comprar.",2025-08-15,Electrónica,5
59,27,9073.2,234.04,21,61,tienda_fisica,8,1059,El producto llegó defectuoso.,2025-05-13,Ropa,4
60,21,2430.5,231.14,92,37,web,4,1060,"Muy recomendable, volvería a comprar.",2025-05-20,Retail,5
61,5,1550.77,203.86,20,28,móvil,2,1061,"El servicio fue regular, podría mejorar.",2025-08-01,Retail,6
62,14,669.54,419.79,50,3,móvil,14,1062,"Muy recomendable, volvería a comprar.",2025-10-22,Retail,5
63,12,3021.2,207.19,115,54,móvil,9,1063,"Buen producto, la calidad es excelente y llegó rápido.",2025-10-07,Hogar,9
