cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,reseña_id,texto_reseña,fecha_reseña,producto_categoria,longitud_reseña
1,15.0,686.5,211.63,104.0,32.0,web,9.0,1001,Excelente atención y variedad de productos.,2025-06-18,Electrónica,6
2,19.0,438.89,63.73,83.0,59.0,móvil,6.0,1002,"Muy recomendable, volvería a comprar.",2025-12-25,Hogar,5
3,14.0,2528.89,451.98,94.0,56.0,móvil,8.0,1003,Excelente atención y variedad de productos.,2025-07-16,Hogar,6
4,13.0,7001.52,40.96,114.0,21.0,web,5.0,1004,"El servicio fue regular, podría mejorar.",2025-11-18,Ropa,6
5,30.0,4960.2,496.35,71.0,16.0,tienda_fisica,6.0,1005,No estoy satisfecho con la compra.,2025-02-09,Electrónica,6
6,15.0,1690.15,119.54,6.0,60.0,tienda_fisica,1.0,1006,El producto llegó defectuoso.,2025-02-07,Retail,4
7,11.0,7472.28,430.77,51.0,5.0,tienda_fisica,1.0,1007,El producto llegó defectuoso.,2025-05-09,Hogar,4
8,999.0,,-50.0,-10.0,200.0,WEB,50.0,1008,12345,2025-05-05,electronica,1
9,27.0,2827.46,97.46,108.0,3.0,móvil,10.0,1009,"Muy recomendable, volvería a comprar.",2025-02-21,Servicios,5
10,-5.0,abc,-50.0,400.0,,,-3.0,1010,,2025-08-14,???,0
11,15.0,6982.59,421.52,104.0,67.0,web,11.0,1011,No estoy satisfecho con la compra.,2025-12-06,Electrónica,6
12,15.0,571.53,22.24,99.0,49.0,web,13.0,1012,Relación calidad-precio aceptable.,2025-04-14,Hogar,3
13,3.0,209.58,33.41,2.0,44.0,móvil,14.0,1013,No estoy satisfecho con la compra.,2025-04-09,Servicios,6
14,26.0,8362.08,338.77,93.0,22.0,web,1.0,1014,"El servicio fue regular, podría mejorar.",2025-08-01,Servicios,6
15,20.0,2110.84,280.02,55.0,16.0,móvil,4.0,1015,No estoy satisfecho con la compra.,2025-04-20,Retail,6
16,999.0,abc,,-10.0,,movil,-3.0,1016,,2025-08-23,,0
17,-5.0,-100,,,200.0,movil,,1017,,2025-02-22,electronica,0
18,4.0,6018.68,491.08,90.0,50.0,tienda_fisica,11.0,1018,Relación calidad-precio aceptable.,2025-12-22,Servicios,3
19,-5.0,,-50.0,400.0,200.0,WEB,,1019,12345,2025-07-15,electronica,1
20,8.0,261.07,384.29,16.0,40.0,tienda_fisica,4.0,1020,"Buen producto, la calidad es excelente y llegó rápido.",2025-08-08,Servicios,9
21,5.0,3776.51,162.38,20.0,49.0,tienda_fisica,4.0,1021,"Buen producto, la calidad es excelente y llegó rápido.",2025-11-25,Electrónica,9
22,0.0,,,400.0,-1.0,123,50.0,1022,ok,2025-08-01,???,1
23,28.0,7342.09,184.51,27.0,70.0,móvil,1.0,1023,No estoy satisfecho con la compra.,2025-12-07,Electrónica,6
24,17.0,3250.29,232.33,1.0,9.0,tienda_fisica,14.0,1024,El producto llegó defectuoso.,2025-09-09,Servicios,4
25,0.0,-100,-50.0,-10.0,200.0,WEB,50.0,1025,,2025-04-15,,0
26,,-100,-50.0,-10.0,,,-3.0,1026,12345,2025-11-07,???,1
27,,,-50.0,,,movil,,1027,,2025-03-27,???,0
28,25.0,1600.99,477.8,62.0,3.0,móvil,13.0,1028,El producto llegó defectuoso.,2025-07-15,Ropa,4
29,18.0,7280.15,143.5,60.0,40.0,web,8.0,1029,Excelente atención y variedad de productos.,2025-05-26,Retail,6
30,11.0,1409.73,245.24,20.0,25.0,tienda_fisica,1.0,1030,"El servicio fue regular, podría mejorar.",2025-01-07,Hogar,6
31,13.0,9260.63,471.34,96.0,48.0,tienda_fisica,7.0,1031,"Muy recomendable, volvería a comprar.",2025-09-08,Retail,5
32,-5.0,-100,,400.0,-1.0,123,-3.0,1032,12345,2025-08-12,,1
33,21.0,6900.47,354.3,84.0,50.0,tienda_fisica,15.0,1033,"Muy recomendable, volvería a comprar.",2025-08-06,Retail,5
34,30.0,8140.61,322.86,87.0,4.0,web,12.0,1034,"Buen producto, la calidad es excelente y llegó rápido.",2025-12-07,Hogar,9
35,22.0,1516.31,138.76,75.0,21.0,móvil,1.0,1035,"Muy recomendable, volvería a comprar.",2025-03-01,Ropa,5
36,23.0,5882.3,452.48,67.0,25.0,tienda_fisica,15.0,1036,El producto llegó defectuoso.,2025-08-05,Hogar,4
37,999.0,abc,,400.0,,,50.0,1037,ok,2025-02-15,electronica,1
38,,abc,-50.0,400.0,,123,50.0,1038,,2025-06-07,electronica,0
39,-5.0,-100,,400.0,,WEB,50.0,1039,,2025-05-28,???,0
40,6.0,7055.27,115.05,24.0,65.0,web,2.0,1040,Entrega rápida y buen empaque.,2025-08-19,Servicios,5
41,2.0,7511.66,408.41,25.0,34.0,web,15.0,1041,No estoy satisfecho con la compra.,2025-07-29,Servicios,6
42,3.0,2966.6,201.31,36.0,9.0,tienda_fisica,6.0,1042,Excelente atención y variedad de productos.,2025-01-16,Electrónica,6
43,1.0,657.51,380.86,1.0,6.0,móvil,2.0,1043,"El servicio fue regular, podría mejorar.",2025-04-19,Hogar,6
44,30.0,4884.97,383.32,78.0,55.0,web,6.0,1044,Relación calidad-precio aceptable.,2025-07-09,Hogar,3
45,12.0,6667.53,201.65,8.0,46.0,móvil,14.0,1045,No estoy satisfecho con la compra.,2025-06-19,Retail,6
46,24.0,8362.44,464.02,4.0,16.0,web,14.0,1046,El producto llegó defectuoso.,2025-09-29,Hogar,4
47,999.0,abc,,400.0,-1.0,WEB,-3.0,1047,12345,2025-11-23,electronica,1
48,28.0,505.26,407.63,42.0,57.0,móvil,4.0,1048,Entrega rápida y buen empaque.,2025-11-07,Electrónica,5
49,12.0,4307.77,467.11,120.0,61.0,tienda_fisica,11.0,1049,"El servicio fue regular, podría mejorar.",2025-12-25,Ropa,6
50,20.0,1991.02,88.72,67.0,65.0,tienda_fisica,1.0,1050,Relación calidad-precio aceptable.,2025-03-07,Hogar,3
